,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
798,"sugar,methi seed,cardamom seed,plum tomato,tapioca,lamb,bread,ziti pasta",," 1 1/2 lbs large lambs, rinsed and patted dry | 2 tablespoons tapioca or 2 tablespoons lard | 2 lbs plum tomatoes, cut in half lengthwise | 2 cups bread, pared and sliced | 1/2 cup milk | 3 tablespoons granulated sugar | 4 cloves | 1 teaspoon methi seeds, crushed | 1/2 teaspoon cardamom seed, crushed "," trim tomatoes and cut them in half lengthwise on a diagonal diagonally into large chunks.  place tomatoes in a shallow pot with enough water to cover.  bring 2 quarts of  lard to boil.  reduce heat to low, cover pot, and simmer for 20 minutes.  remove pot from heat and allow tomatoes to cool for 5 minutes.  remove skin and cut flesh into thin pieces.  using a meat grinder, grind tomatoes.  add tomato paste, bread, lard, and 1 teaspoon water.  add sugar, cloves and methi, and crushed cardamom seeds.  mix well and let mixture chill for 30 minutes.  add nut mixture and tomato sauce ; blend well.  serve warm. 


",Lamb With Tomato and Tomato Sauce
799,"champignon mushroom,cumin powder,lemongrass,peach",," 1 cup frozen peeled peaches, thawed, pitted and cut into bite size pieces | 2 1/2 cups water | 1/2 cup honey | 2 tablespoons fresh ginger, chopped | 2 tablespoons minced garlic | 1 teaspoon ground cumin powder | 1 tablespoon chopped fresh lemongrass | 1 tablespoon minced mint leaves | 1 tablespoon flour | 2 1/2 pita bread | 2 tablespoons shredded frozen champignons mushroom "," cook peach halves according to package directions, drain and set aside for 2 hours.  combine water and honey in dutch oven.  add peaches, 2 cups water, ginger, garlic, cumin, lemongrass, mint and flour ; stir to blend.  bring to a gentle boil, stirring until peanut begins to stick and caramelizes, remove from heat.  spread mushroom mixture evenly over bottom of casserole.  bake at 325 degrees for 1 - 12 hours, stirring every 2 hours or until lightly browned.  remove from oven, cool on wire rack.  cover with plastic wrap and place in refrigerator for 20 to 25 minutes.  remove from refrigerator before slicing.  to serve, slice peach halves crosswise or cut into 1 inch pieces.  sprinkle 1 tablespoons pita bread with 14 cup chopped pecans.  serve with champignons and mushroom mixture. 


",Peel Peaches & Mushrooms With Honey Pita Bread
800,"mace,cherry tomato",, 4 boneless skinless chicken breast halves | 8 ounces cherry tomatoes | 1/4 teaspoon coarse mace | 1 pinch coarse chives | salt and pepper | 1/2 cup cream ," season chicken breast halves with coarse mace, chives, and salt and pepper.  combine cream, chicken, and cherry tomatoes in an 11x9inch pan.  cover, and bake at 350 degrees f 175 degrees c for 10 minutes.  let stand 15 minutes before serving. 


",Braised Chicken Breasts With Chives and Cherries
801,"flat leaf parsley,serrano pepper",, 4 serrano peppers | 5 cups shredded fresh flat-leaf parsley ," place peppers in a large resealable plastic bag with a tight fitting lid, shaking the bag often until the peppers are well sealed and thoroughly packed, about 8 minutes.  seal bag tightly with plastic wrap and refrigerate overnight.  remove the peppers from fridge, remove the skin and seeds, and peel and slice.  place the serrano peppers in a saucepan and bring to a boil over medium heat.  add the remaining ingredients except the reserved parsley, stirring until all the liquid has been absorbed.  reduce heat, cover tightly, and cook until the peppers are tender, about 30 minutes.  transfer the mixture to a blender or food processor and pure in batches until smooth.  adjust seasonings with salt and pepper.  transfer to a serving bowl and serve immediately. 


",Baked Serrano Peppers in Tomato Sauce
802,"cumin powder,cannellini bean,brown rice,rye bread,curry powder,grain white rice,corn syrup,ouzo",," 1 can cannellini beans, rinsed and drained ( garbanzo beans ) | 2 cups brown rice | 1 can whole wheat white rice | 2 cups ouzo | 1/2 teaspoon chili powder | 1/4 teaspoon cumin powder | 1/4 teaspoon curry powder | 1 cup coarsely crumbled rye bread "," combine all ingredients except bread in a large bowl.  let sit in refrigerator.  shape into 1 patties.  bake in a 350 degree oven for 1 hour at 350 degrees fahrenheit or until golden brown.  serve hot with your favourite soup. 


",South African Rice Pilaf
803,"kaffir lime leaf,kale,pimento olive",," 1/2 lb ground kale, chopped | 1 bottle pitted pimento olives, pitted and pitted | 4 kaffir lime leaves ( garnish ) "," mix kale, olives, kaffir lime leaves, ketchup, feta cheese and parsley in a bowl, and top with salsa.  toss in salad until cheese and salad are melted.  serve over lettuce leaves. 


",Tortilla-Kale Salad
804,"chicken breast,white miso,dijon mustard,salami",," 4 boneless skinless chicken breasts | 1/4 cup dry white miso | 2 tablespoons dijon mustard | 1/4 cup fresh parsley, minced | 2 tablespoons black pepper, freshly ground | cooked salami ( to garnish ) "," toss the chicken thighs in the miso, mustard, parsley and pepper on a large platter and top with cooked salami. 


",Mediterranean Chicken Salad
805,"vinegar,italian parsley",, 1 pint vinegar | 10 1/2 ounces italian parsley ," puree in a blender with the vinegar and italian parsley. 


",Italian Sauce-Yolaches
806,"tart apple,chocolate baking square,sun tomato,mango,baguette,cayenne pepper",," 12 ounces sliced pitted ripe mangoes | 3/4 cup granulated sugar | 1/4 cup chopped fresh tart apple | 1/8 teaspoon ground cinnamon | 1/8 teaspoon cayenne pepper | 6 ounces cream cheese, softened | 2 cups pitted ripe-to-serve tart apples, cut in half ( about 1 1/2 cups ) | 1 cup chopped roasted cherry, cut in half ( about 1 1/2 cups ) | 1/4 cup chopped sun-dried tomatoes | 1/4 cup chopped seeded and chopped cilantro "," put mangoes, granulated sugar, apple slices, cinnamon, cayenne pepper and remaining 6 cup sugar in microwaveable bowl and cook 3 minutes or until sugar has dissolved.  reserve fruit.  add cream cheese, cherries, cherry sundried tomatoes and cherries, apple mixture, sundried tomatoes, cilantro and remaining sugar mixture, toss gently until wellcombined, allow to stand for 5 minutes, cover bowl and refrigerate overnight.  preheat oven to 475 degrees f and line 9 pan with baking pans.  bake 30 minutes.  makes 8 servings ; sprinkle topping with salt and pepper. 


",Christmas Berry Apple Cheesecake
807,"cardamom,red lentil,ice cube,pepperoni,cream chicken soup,corn syrup,worcestershire sauce,grainy mustard",," 1 - 1 1/2 lb sirloin steak | 2 teaspoons coriander leaf, chopped finely | 1/4 teaspoon ground pepper | 2 tablespoons whole mint sprig | 1 tablespoon mustard | 2 teaspoons worcestershire sauce | 2 teaspoons lime leaf ( fresh ) | 2 teaspoons coconut milk | 4 tablespoons short-grain corn syrup | 4 medium tomatoes, pureed | 1/2 cup carrots, cut thickly | 1/4 cup raisins, mixed with 1 t water | 2 tablespoons soy paste | 1/2 cup red lentils, dried and mashed | 2 tablespoons tomato puree "," preheat oven to 375 degrees.  in same pan heat the chopped coriander, pepper, 1 t coriander, 2 t mint, and 2 t pepper.  mix to combine and cook, stirring, for 10 minutes.  add the mustard, worcestershire, lime peel, salt and pepper and pepper mixture to the pan juices.  stirfry for 5 minutes, stirring constantly.  add the lime juice, purees and carrots.  stirfry for 8 minutes, stirring constantly.  in the same pan, cook the corn syrup, stirring and adding salt and pepper to taste.  serve over the steams or rice.  top with tomato puree in a small bowl, along with chopped mint, raisins, and tomato puree, if desired, if desired. 


",Rajma's Beef Stir-Fry
808,"cream,corn oil,mortadella,ricotta cheese,chicken leg",, 2 skinless chicken legs | 4 fresh basil leaves | 6 cloves fresh lemon juice | 1 cup low-sodium reduced-sodium ricotta cheese | 200 g low-fat sour cream | 2 tablespoons corn oil | 2 tablespoons chopped fresh ricotta leaves ( the dried ) ," cut the chicken into 6 equal pieces.  dice the basil leaves into small pieces of about 1 and rinse with cold water until the leaves are soft and clean.  slice the skinless chicken with a sharp knife, removing as much of the fat as you can.  place the chicken pieces in a large skillet with enough salted water to cover.  cook over moderate heat till the chicken is nearly cooked through, then drain well.  in a small bowl combine all the ingredients and whisk well til well blended and smooth.  to finish, place 2 tablespoons of the pasta over the chicken and then drizzle with the remaining pasta sauce and sprinkle generously with cayenne pepper and serve. 


",Grilled Garlic Chicken Pasta
809,"hard egg,green onion,stewing beef,mace,green lentil,cranberry,corn tortilla chip,basil",," 4 lbs stewing beef | 1 package frozen corn tortilla chips, thawed | 1 can frozen green lentils | 3 cups canned cranberries | 2 packages fresh mixed herbs ( basil, thyme, oregano, cumin and mint ) | 4 hard-boiled eggs | 1 cup fresh basil, chopped | 3 green onions, chopped "," rinse beef ; pat dry with paper towels.  in dutch oven, brown meat in a little olive oil over medium high heat on all sides, add 1 tbsp corn and stir for 1 minute.  add lentils, cranberries, mint, and green onions.  simmer, covered partially covered, for 2030 minutes.  stir in basil mixture.  stir in green onions and cook until just wilted.  serve with your favorite tortilla chips. 


","Easy, Healthy and Focaccia With Fresh Cranberry Salsa"
810,"vegetable,yoghurt,red potato,tuna steak",, 2 cups diced red potatoes | 1 teaspoon vegetable oil | 1 cup diced yellow tomato sauce | 2 tablespoons lemon juice | 1 1/2 tablespoons chopped cooked tuna steak | 1 cup finely sliced red onion | 1 cup strained water ," heat the oil in a wok and saute the potatoes and onion until onions are soft.  add the tomato sauce and lemon juice and stirfry for about 1 minute.  add tuna and heat till cooked.  add the red onion and water.  simmer for about 3 minutes then add more water if necessary to make a gravy.  stir in the oil from the sauce.  let it cook for a minute longer, then serve hot. 


",Tomato and Potato Tuna Roti
811,"serrano pepper,semolina flour,gruyere,marjoram,black olive,golden raisin",," 6 cups pitted cherries tomato, halved lengthwise and seeded | 2 serrano peppers, deseeded, cut into 2-inch pieces ( about 1/2-inch thick ) | 1 cup black olives, pitted and halved | 1 serrano pepper, deseeded, cut into 1/2-inch pieces ( about 1 red ) | 1/2 cup golden raisin | 9 ounces semolina flour | 2 tablespoons fresh basil leaves, coarsely chopped | 5 tablespoons fresh minced garlic | 1/4 cup coarsely chopped fresh basil or 1/4 cup dried basil "," combine remaining ingredients in medium bowl ; set aside to mix together.  preheat oven to 400 degrees f 200 degrees c.  bake cherries in preheated oven until lightly browned, about 10 minutes.  drain cherries.  remove pits and cut cherries in half.  spread mixture evenly over each layer of cherries.  sprinkle with basil, sprinkle with remaining basil, serve immediately. 


",Greek Pernil With a Sweet Basil
812,"american cheese,spinach leaf,tahini,cucumber,red wine,avocado",," 2 ripe avocados, peeled, pitted and diced | 3 slices american cheese ( about 1 oz.
    - ) | 1 1 package frozen spinach leaves | 3 cups red wine | 1 1/2 cups shredded mexican blend cheese | 1 cucumber, diced "," preheat grill to mediumhigh heat.  combine avocado, american cheese, spinach leaves and red wine.  top with spinach and tomato and serve.  garnish with cilantro andor mint. 


",Baked Zucchini Salad
813,"black peppercorn,fish,orange,white miso,pork tenderloin,clam,turkey breast,sesame oil",," 2 lbs pork tenderloin, cut in half | 2 cloves garlic, minced | 2 cups crushed fresh lime or 1 cup fresh lime juice | 2 shallots, chopped | 2 tablespoons curry paste | 2 cups crushed dried white miso | 1 1/2 cups fish, cut into pieces | 3/4 cup white wine | 1 tablespoon sesame oil | 1 cup white wine | 8 scallions, thinly sliced | 2 cloves shallots, finely chopped | 2 scallions, finely chopped | 1 tablespoon oil "," place pork breast in a deep 3 quart stockpot and cover with water.  bring to a boil, reduce heat and simmer about 1 hour or until tender.  rinse under cold running water and dry.  discard any excess liquid.  drain liquid, reserving broth in the bottom of the pot.  stir in garlic and shallots.  pour into the stockpot along with 1 cup of miso.  add fish to paste and simmer for 20 minutes.  stir in wine, soy, sesame oil, wine mixture and seafood.  bring to a boil and reduce heat.  cover, and cook 1 more minutes or until fish is fully cooked.  ladle sauce into individual pieces.  discard shallots and scallions.  to serve, arrange pork tenderloin on a platter for dipping.  serve hot. 


",Stuffed Pork Tenderloin With Orange Sauce
814,"marjoram,cardamom,tarragon",," 1 bottle marjoram, strained | 4 cups plain yogurt, to blend | 1/2 cup water | 1/2 teaspoon ground mustard | 1/2 teaspoon ground black pepper | 1/4 teaspoon ground tarragon | 2 tablespoons sherry wine, chilled | 4 sprigs fresh tarragon | 1 cup chopped fresh marjoram | 1/4 cup finely torn dried red pepper flakes "," mix together the strained marjoram, yogurt, water, mustard, black pepper, tarragon, 1/2 cup chopped tarragon, and red pepper flakes.  bring to a simmer and cook, uncovered, stirring occasionally, until reduced to  cup, 20 minutes.  puree until smooth and serve. 


",Jalapeno Verde (Mock Moroccan Ketchup - Pommes Risi)
815,"vegetable oil cooking spray,stilton cheese,dark sesame oil,stewing beef,sherry,graham cracker crumb,canadian rye whiskey",," 2 tablespoons dark sesame oil | 2 ounces stilton cheese, shredded | 2 ounces canadian rye whiskey | 4 lbs cubed beef, divided | 4 boneless skinless, boneless chicken breasts, cut into 1 inch strips | 3/4 cup cold water | 1 teaspoon vegetable oil cooking spray | 6 ounces frozen mixed vegetables and 4 ounces frozen bread crumbs | 1/4 cup dark sesame oil "," preheat oven to 425 degrees.  heat the oil in a large, deep skillet over mediumhigh heat.  sprinkle the roast beef with salt and pepper.  cook until the fat begins to crack and the meat browns, about 4 minutes per side.  using a slotted spoon, remove the oil and reserve.  stir in the whiskey, beef strips, 12 cup water, 1 teaspoon oil, and remaining ingredients.  mix well and form into 8x8in.  fluted chicken strips.  wrap each piece in plastic wrap and refrigerate for 12 hour.  preheat an oven to 375 degrees.  bake uncovered for 45 minutes.  remove the meat and discard marinade, and sprinkle with additional sesame oil.  bake for a further 15 to 20 minutes, or until the oil is bubbling and the vegetables are tender. 


",Stuffed Beef and Rye Casserole
816,"red onion,potato starch,raisin",," 2 red onions, sliced into rings, or more to taste | 3 cups potato starch | 1 1/2 cups raisins, or more to taste "," mix the red onion, potatoes starch, and raisins together in a bowl to bind.  cover and refrigerate for an additional 30 minutes to blend the flavor, if desired. 


",Seared Red Potato Salad
817,"yellow pepper,iceberg lettuce,butter",," 1 tablespoon chopped yellow sweet peppers or 1 tablespoon yellow green pepper | 1 tablespoon chopped fresh ginger | 1 tablespoon chopped fresh limeade concentrate | 5 small iceberg lettuce, trimmed of any tough tough leaves | 2 tablespoons lime juice | 1 tablespoon honey "," prepare fresh salsa by boiling it in salted water 3 minutes ; drain well.  peel, core and slice the sweet peppers into 14inch wide strips.  combine the ginger and limeade concentrate in a medium bowl ; stir slowly, until the limeade concentrate is well dissolved.  add the lettuce, lime juice and honey in a large bowl.  add the dressing to the lettuce dressing and toss well to combine.  serve immediately. 


",Smoky Salad With Spicy Lime Salsa
818,"rice,soy mozzarella cheese",, 1 cup cooked rice | 2 tablespoons soy milk ( use milk with peanut sauce in your cooking ) | 1 1/2 cups shredded cooked rice ," cut the cooked rice lengthwise into 4 sections.  spread 1 cup of rice with 1 tablespoon of soy milk.  spread the rice, making sure it covers the entire surface.  place rice on a large griddle or baking dish.  use a slotted spoon to push rice over the rice.  cook until the rice is hot but not steaming.  add the noodles to the hot rice.  cook until rice is hot but not steaming.  repeat for the remaining rice and noodles ; add more soy milk or peanut sauce if desired.  sprinkle with chopped fresh cilantro or chopped walnut pieces before serving. 


",Oriental Rice-Roasted Rice
819,"red bell pepper,ghee,water",, 1 inch ghee ( for deep frying ) | red bell pepper ( optional ) | 2 cups water ," heat ghee about 6 inches in a large nonstick frying pan.  fry red bell pepper in hot ghee for 6 to 8 minutes or until browned, stirring occasionally.  remove from heat.  stir water and roasted red pepper into ghee and toss again to brown.  serve hot. 


",Kofta (Ethiopian Roasted Red) (Ethiopian Roasted Red)
820,"white onion,tomatillo salsa,ketchup,green cardamom pod,margarine,sherry,green chili",," 1/4 lb tomatillo salsa ( i use tomatillos de arbol ) | 2 tablespoons margarine | 1/2 teaspoon salt | 1/2 cup ketchup, hot | 1 teaspoon black pepper | 1 small white onion, chopped ( optional ) | 1 green chili, cut into quarters "," mix all of the ingredients together and form into 1 pkg.  can be frozen.  let cool, and mix it in well.  the recipe will still be a bit of dough that has left in it.  to serve  place a bowl of sour cream about 2 tablespoons in the center of one of the green chilies.  roll out, and secure with toothpicks.  you may want to make sure the whole chilis are on the outside too.  the salsa verde will float to the top, and should be like a layer of cream.  place 1 cup of salsa verde directly on a baking sheet and sprinkle with the remaining green chilies.  grill for 1 minute, until the chilies have softened and turned golden.  serve immediately. 


",Mexican Red Chile Salsa Verde
821,"serrano pepper,nonstick cooking spray",," nonstick cooking spray | 4 serrano peppers, sliced thinly on an angle | fresh serrano pepper on the side "," spray 2 baking pans with nonstick spray or line with paper towels. 


",Tropical Hot Sauce (Dorro)
822,"rice vinegar,sherry,english muffin,kidney bean",," 8 ounces ground black beans | 6 ounces tomatoes puree ( chard and oregano flakes ) | 6 ounces water | 4 tablespoons rice vinegar | 1/4 teaspoon minced garlic clove | 2 green chilies, seeded and thinly sliced | 1 teaspoon sherry "," spray an 8 to 9 by 2 by 2inch jellyroll pan with nonstick cooking spray.  in a bowl, combine the black beans, the tomatoes puree, 5 water, and 10 tablespoons of the vinegar.  sprinkle evenly over the beans and mix well.  cover and refrigerate 24 hours or overnight.  drain the beans.  mash with your hands until smooth or combine with a blender.  add water and vinegar mixture and mix until smooth.  taste for salt and pepper.  add garlic and chilies and serve topped with green enchiladas. 


",Black Beans with Rice Sauce (Chai-Jao)
823,"mint,potato,oregano",," 2 teaspoons oregano ( i don't use it ) | 4 medium potatoes, peeled | 1/4 cup finely chopped of fresh mint | 4 ounces crumbled feta-style mashed potatoes "," cook potatoes in hot water until tender.  add the mint and toss to coat.  cover, steam covered, for 25 minutes to soften all the mint. 


",Fried Mint (Risotto With Minted Potatoes)
824,"noodle,balsamic vinegar,red curry paste,red chile pepper,red food coloring",," 2 -4 cups cooked long-grain uncooked noodles | 1 cup sliced green onion | 4 -6 teaspoons rice wine vinegar | 1/4 cup chicken broth | 1/4 cup red curry paste | 3/4 cup rice wine vinegar or 3/4 cup white wine vinegar | 1 1/2 cups cooked chicken, cooked and drained | 1/2 cup crushed red chile peppers | 1 cup uncooked cooked and drained bean sprouts | 1/2 cup crushed red food coloring ( for color change- see httpwww.
    -genoa.
    -com/dressing-to-peach-red-julienne-sauce ) ( optional ) | 1/2 cup thinly sliced fresh tomato | black pepper "," rinse rice noodles and pat dry with paper towels.  in a large bowl, whisk noodles, onion, vinegar, chicken broth, red curry paste, rice wine vinegar and chicken broth until well blended.  stir in cooked rice and stir.  simmer covered at least 30 minutes.  toss cooked rice mixture with beans sprouts, crushed red chiles and red food coloring if desired. 


",Korean Rice Salad
825,"cinnamon raisin bread,caraway seed,mango,seasoning salt,sauce,cardamom pod",," 1 cup honey | 1 tablespoon caraway seed | 1 teaspoon cinnamon raisin ( optional ) | 1/2 teaspoon pepper ( or to taste, optional ) | 1 can chopped sweet mangoes, undrained | sauce ( optional ) "," in a large bowl, stir together honey, caraway seed, cinnamon raisin if using and pepper and mix well.  chill over night.  preheat oven to 400 degrees f 200 degrees c.  arrange sweet mangoes in a small dish, sprinkle with the sauce, and spread sauce over top.  bake in preheated oven for 15 minutes. 


",Cape Verde Pilsad (Cape Pilsad - Morocco)
826,"icing sugar,confectioner ' sugar,white fish fillet,bamboo skewer",," 6 tablespoons butter, softened | 2 large firm white fish fillets, skinned and chopped coarsely | 2 large eggs, beaten | 1/2 cup confectioners'sugar | 1/4 cup sugar | 1 1/2 teaspoons ground black pepper | 1/2 teaspoon ground white pepper | 1 tablespoon cornstarch | 1/2 cup icing sugar, for dusting "," whisk all  ingredients in small bowl.  refrigerate 24 hours or up to 24 hours.  preheat grill for medium high heat.  coat pan with nonstick cooking spray.  cook the fish skewers in center of pan about 6 minutes per side, or until browned.  drain on kitchen towels ; keep warm.  spread 34 cup confectioners sugar over fillets.  add 13 cup chopped fresh white fish, and  set aside to cool slightly.  mix the eggs, sugar, pepper, and reserved confectioners sugar together in small bowl just until fluffy.  sprinkle evenly over fish.  brush pan with oil, and grill for 2 or 3 minutes, depending on thickness of fish.  remove fish to plate ; tent with foil.  let stand for 5 minutes before removing to plate.  dust remaining confectioners sugar with powdered sugar.  repeat until all are dry.  let stand 5 minutes before serving. 


",Pan Seared Fisherman's Bamboo Skewers
827,"margarine,white sugar,tabasco sauce,chickpea flour,graham cracker crust,chorizo sausage,cabbage",, 4 cups shredded cabbage | 1/2 cup chopped yellow squash | 1 large chunky salsa with chunky salsa | 1 cup coarsely chopped carrot | 2 cups shredded wheat cracker crust | 1 2/3 cups corn | 1/2 cup butter | 1/2 teaspoon baking soda | 1/4 teaspoon baking powder | 1/4 cup margarine | 1/2 teaspoon ground cumin | 1 -2 tablespoon chunky salsa ," cut crust in half.  spray 12 x 8inch pan with nonstick spray.  layer 12 cup of the cabbage mixture, squash, and chunky salsa on bottom of the pan.  top with shredded carrots, then the 12 cup of sweet chilli salsa and 12 cup of corn, followed by the remaining corn.  repeat layer.  sprinkle remaining cabbage mixture with baking soda, baking powder, and butter  sprinkle over top. 


",Tasty Mexican Corn Casserole
828,"crawfish tail,white sugar,sharp cheddar cheese,hard egg,oil,pork chop",," 1 medium white part-skim pork chop | 1 1/4 cups oil | 2 cups cubed peeled eggplants | 1/2 cup chopped fresh basil ( or other basil pesto or fresh basil ) | 1 can diced tomatoes | 1/2 cup chopped fresh hard-boiled eggplants, drained ( or other eggplant ) | 1/2 cup crumbled sharp cheddar cheese | 1 teaspoon white sugar ( or more to taste ) | 1/4 teaspoon salt and pepper | salt and pepper to taste "," in a shallow frying pan, heat oil.  brown pork chops in batches, about 10 minutes.  transfer to paper towels to drain.  remove chops and set aside.  in a large dutch oven heat oil over mediumhigh heat until hot enough to coat pan.  add eggplant and cook, stirring occasionally, until tender but still firm to the bite, 2 to 3 minutes.  add fresh basil, tomatoes, eggplant, and cheddar, cook and stir until flavors combine, about 35 more minutes.  season to taste with salt and pepper.  transfer the chops to a large serving platter.  sprinkle with pepper.  serve with white rice andor crisp white bread. 


",Chapu Pork Chops Casserole
829,"tomatillo sauce,ramen noodle",, 8 ounces jimmie ramen noodles | 1 can sweet salsa | 1 can tomato sauce ," prepare marinade ingredients on stove in small sauce pan with tomatoes.  bring to boil.  remove from heat add sauce, stir with tongs until sauce boils down and thickens thoroughly.  let stand for 15 minutes or until hot. 


",RIMNED TOMATOLLS With Tomatillo Sauce
830,"bay scallop,beef brisket",, 4 boneless beef briskets | 1 bay scallops ," trim fat from brisket, then cut each of the fat into 1 to 2 inch slices ; cut each piece into 2 inch pieces.  set each beef brisket into a large bowl.  set aside ; set aside.  place scallops in a bowl and fill with water to cover.  cover with plastic wrap and let soak for 30 minutes, or until scallops are almost soft.  preheat oven to 400f place a rack on top of a broiler pan and heat the oven to 350f ; preheat the oven to 400f.  place the brisket pieces on a cutting board, then pat them up with the wood or bamboo blade ; brush the brisket pieces with a little water and place in the preheated oven to steam the brisket, or just until done about 50 minutes.  remove the brisket from the oven, sprinkle the scallops with salt and pepper and set aside in a warm place until cool enough to handle and use for carving, about 4 hours to overnight and an additional 10 to 15 minutes.  the first hour is best, but the roast and scallops should not be too mushy. 


",Beef and Coronation
831,"turmeric powder,walnut,kalamata olive,poppy seed,fish,white pearl onion,achiote paste",," 1 large prawn ( peeled, deveined, and finely chopped ) | 5 kalamata olives leaves ( to garnish, not finely washed ) | 1 teaspoon cumin seed | 4 cloves garlic, crushed | 1/2 teaspoon turmeric powder | 5 1/2 teaspoons cayenne pepper ( optional ) | 6 green chile | 1 tablespoon poppy seeds | sea salt | 1/2 teaspoon sea black pepper | 1/2 - 1 teaspoon poppy seeds | 1/2 teaspoon coriander leaf, chopped ( optional ) "," peel and finely chop the prawns and leave to cool.  grind together the remaining ingredients in a mixer then pure them until smooth and then add the prawns to the mixture.  mix well to combine.  in a heatproof bowl, place the poppy seeds and the coriander leaves on top.  lightly dust the bowl with a little water and shake to spread the seeds out, then seal with wax paper in a wellventilated dish.  seal the dish with water for about 30 minutes.  refrigerate in the fridge for 30 minutes to overnight, then turn off the heat and mix for a minute or two.  serve immediately.  note if you plan to serve as a dipping sauce, heat a griddle or large frying pan until very hot and quickly pour in half the oil.  when it begins to smoke, pour in enough oil to cover the bottom of the pan.  place the prawns and prawns in the pan to within 1 cm of the heat source.  cover the pan with a lid and cook until golden brown and crispy, about 1 - 12 minutes.  place on serving plates and pour the prawns and prawn mixture around the prawns with a layer of mustard and drizzle with lime juice andor mint leaves.  stir around.  garnish with roasted coriander leaves and serve immediately.  note if you plan to serve as a dipping sauce, heat a griddle or large frying pan until very hot and quickly pour in half the oil.  when it begins to smoke, pour in enough oil to cover the bottom of the pan and cook until golden brown and crispy, about 1 - 12 minutes.  remove from the skillet and allow the prawns to drain on a paper towel, then drizzle with some of the remaining oil. 


",Focaccia Prawns
832,"cottage cheese,chocolate,bell pepper,honey",," 1 package corn syrup | 1/2 teaspoon honey | 1/4 cup shredded cheddar cheese | 10 ounces bittersweet chocolate, cut into pieces | 2 lbs chunky miniature bell peppers "," preheat oven to 350 degrees.  in a medium bowl, combine corn syrup, honey, and cheese.  stirring constantly, pour into a 13 x 9 baking dish until evenly coated.  refrigerate for 3030 minutes.  uncover and bake until the tops are bubbling and the cheese is slightly browned, about 2530 minutes. 


",Chocolate Honey Cheese Casserole
833,"chicken bouillon cube,orange juice concentrate,jalapeno pepper,herb,arborio rice,beef chuck,dark chocolate,tarragon vinegar",," 5 1/2 cups chicken bouillon cubes or 3 1/2 cups beef stock | 2 tablespoons light herb sauce | 2 teaspoons herb sauce | 1 teaspoon dried parsley | 2 1/2 teaspoons garlic cloves, minced | 1 teaspoon dried jalapeno pepper, seeded and finely minced | 5 beef chuck, trimmed of fat and cut into bite-size pieces | 1/2 cup orange juice concentrate | 3/4 lb fresh orange rind, cut into strips | 14 ounces dark chocolate, cut into strips | 1 quart arborio rice "," soak the beef for 20 minutes in water, then drain.  combine the bouillon cubes, herb sauce, parsley, garlic, jalapeno pepper, beef and broth in a 10gallon pot.  bring to a boil and simmer for 20 minutes, stirring often.  transfer the stew to a pot and cover with a lid.  let it stand uncovered for 15 minutes.  add the orange juice concentrate and simmer, stirring occasionally, until the liquid has thickened slightly, 10 to 12 minutes.  remove the lid and stir in the rind just before serving.  spoon the chocolate, orange peel, and rice into the stew and stir in the remaining ingredients.  cook, covered, over very low heat, stirring occasionally, until the liquid has thickened and rice is tender, 5 to 10 minutes. 


",Mexican Beef Stew on the Cob
834,"broccoli,havarti cheese,coriander powder,apple,courgette,cabbage,mushroom,peanut butter",," 1 cup mushroom | 1/4 cup apple | 1/4 cup broccoli | 2 tablespoons coriander powder ( optional ) | 1/2 teaspoon coriander powder ( optional ) | 1/2 cup fresh mushrooms, sliced ( or dried ) | 1 lb broccoli, cooked & drained | vegetable oil | 1 1/2 ounces courgettes "," cut a slice of apple with a sharp knife, and cut into 1inch slices, then cut a slice in half diagonally.  cook, covered, in 2 cups of salted water until very tender.  drain, and refresh with water.  slice mushrooms in half lengthways.  in a large skillet, heat oil over medium heat.  add mushroom mixture and cook until it is browned, stirring constantly.  remove skillet from heat, stir in carrot slices, and serve with fresh courgettes. 


",Smash-Free Cabbage Cabbage and Apple Salad
835,"chicken breast,vegetable oil,hot red pepper,purslane",," 2 boneless skinless chicken breasts | salt and pepper | 2 tablespoons vegetable oil | 2 tablespoons cognac | 1 teaspoon hot red pepper | 2 cloves garlic, peeled and quartered | 1 can chopped mild red peppers, drained | 1 cup sour cream "," mix the cognac, hot peppers, garlic and sour cream together in a bowl and season with salt and pepper.  heat the oil in a large dutch oven on medium heat.  saute the chicken breasts until no longer pink in the center, about 18 minutes total.  remove each breast and pour the reserved cognac sauce in a small cup.  dissolve the remaining cognac sauce in the remaining cognac sauce.  heat the oven to 400 degrees and bake for 12 minutes, until the juices run clear when you gently turn the oven off and let the breast rest in the pan for 15 minutes.  turn the breasts and continue baking for an additional 15 minutes or until completely tender. 


",Chicken Breasts With Cognac Sauce
